Player.Name,Salary,Position,Age,Team,GP,MP,FGA,FG.,TRB,AST,PTS,Total.Minutes,PER,TS.,FTr,TRB.,AST.,USG.,WS,OBPM,DBPM,BPM,VORP
Jalen Williams,4341480,SG,21,OKC,75,30.3,10.6,0.521,4.5,3.3,14.1,2276,15.6,0.601,0.241,7.9,15.4,18.4,5.6,-0.4,0.7,0.3,1.3
Grant Williams,4306281,PF,24,BOS,79,25.9,6,0.454,4.6,1.7,8.1,2045,10.3,0.605,0.256,9.7,8.4,13.1,4.4,-1.8,0.7,-1.1,0.5
Darius Bazley,4264628,C,22,OKC/PHO,43,14.3,4.3,0.454,3.2,0.9,5.2,616,13.1,0.524,0.383,12.1,8.3,16.4,1,-2,1,-1,0.2
Tyrese Haliburton,4215120,PG,22,IND,56,33.6,15,0.49,3.7,10.4,20.7,1883,23.6,0.624,0.239,6,47.6,23.8,7.6,7,0.2,7.2,4.4
Nassir Little,4171548,SF,22,POR,54,18.1,5.6,0.442,2.6,0.9,6.6,976,10.2,0.555,0.152,8.3,7.3,16,0.7,-1.6,-1.4,-3,-0.3
Jalen Duren,4124280,C,19,DET,67,24.9,5.9,0.648,8.9,1.1,9.1,1670,17.3,0.655,0.394,19.7,6.8,14.3,4.5,-0.4,-0.4,-0.8,0.5
Gorgui Dieng,4105236,C,33,SAS,31,11.5,3.8,0.385,3.5,1.7,3.9,358,9.9,0.493,0.111,16.3,19.4,17.9,0,-4,0.1,-3.9,-0.2
Justise Winslow,4097561,PF,26,POR,29,26.8,6.8,0.409,5,3.4,6.8,776,9.3,0.466,0.141,10.7,17.2,14.2,0.4,-3.4,0.6,-2.8,-0.2
Stanley Johnson,4022164,SF,26,SAS,30,15.6,4.1,0.533,3.2,2.2,5.8,469,13.5,0.625,0.32,11.1,19,15.2,0.7,-0.8,-0.2,-1,0.1
George Hill,4000000,PG,36,MIL/IND,46,18.1,3.6,0.47,1.8,2.4,5,834,10.6,0.61,0.331,5.4,16.7,11.3,1.9,-2.4,0.9,-1.5,0.1
Terence Davis,4000000,SG,25,SAC,64,13.1,5.7,0.423,2.2,1,6.7,841,12.9,0.563,0.118,9.4,11.1,22.2,0.9,-1.3,-0.3,-1.5,0.1
Chris Duarte,3936960,SF,25,IND,46,19.5,7.2,0.369,2.5,1.4,7.9,897,8.6,0.496,0.216,7.1,9.7,19,0,-2.9,-1.6,-4.5,-0.6
Alex Len,3918600,C,29,SAC,26,6.2,1.2,0.533,2.3,0.5,1.7,161,12.8,0.58,0.533,21.3,9.3,14.1,0.3,-4.9,0.9,-4,-0.1
Ochai Agbaji,3918360,SG,22,UTA,59,20.5,6.5,0.427,2.1,1.1,7.9,1209,9.5,0.561,0.179,5.4,7.5,15.8,1.3,-1.7,-1.4,-3,-0.3
Jordan Poole,3901399,PG,23,GSW,82,30,15.6,0.43,2.7,4.5,20.4,2458,14.6,0.573,0.325,5,22.5,29.2,3.2,-0.1,-1.8,-1.9,0.1
